,Filename,Model,Name,Species,n_elect
0,jth-gga-pbe/Hf_GGA.atomicdata,jth-gga-pbe,Hf_GGA,['Hf'],12
1,jth-gga-pbe/Fe_GGA.atomicdata,jth-gga-pbe,Fe_GGA,['Fe'],16
2,jth-gga-pbe/Mg_GGA.atomicdata,jth-gga-pbe,Mg_GGA,['Mg'],10
3,jth-gga-pbe/Cs_GGA.atomicdata,jth-gga-pbe,Cs_GGA,['Cs'],9
4,jth-gga-pbe/Kr_GGA.atomicdata,jth-gga-pbe,Kr_GGA,['Kr'],8
5,jth-gga-pbe/Os_GGA.atomicdata,jth-gga-pbe,Os_GGA,['Os'],8
6,jth-gga-pbe/Pb_GGA.atomicdata,jth-gga-pbe,Pb_GGA,['Pb'],14
7,jth-gga-pbe/As_GGA.atomicdata,jth-gga-pbe,As_GGA,['As'],15
8,jth-gga-pbe/Cd_GGA.atomicdata,jth-gga-pbe,Cd_GGA,['Cd'],12
9,jth-gga-pbe/W_GGA.atomicdata,jth-gga-pbe,W_GGA,['W'],14
10,jth-gga-pbe/Pd_GGAnew.atomicdata,jth-gga-pbe,Pd_GGAnew,['Pd'],18
11,jth-gga-pbe/F_GGA.atomicdata,jth-gga-pbe,F_GGA,['F'],7
12,jth-gga-pbe/P_GGA.atomicdata,jth-gga-pbe,P_GGA,['P'],5
13,jth-gga-pbe/Br_GGA.atomicdata,jth-gga-pbe,Br_GGA,['Br'],7
14,jth-gga-pbe/Sn_GGA_sp.atomicdata,jth-gga-pbe,Sn_GGA_sp,['Sn'],4
15,jth-gga-pbe/Pm_GGA.atomicdata,jth-gga-pbe,Pm_GGA,['Pm'],15
16,jth-gga-pbe/Pb_GGA_sp.atomicdata,jth-gga-pbe,Pb_GGA_sp,['Pb'],4
17,jth-gga-pbe/He_GGA.atomicdata,jth-gga-pbe,He_GGA,['He'],2
18,jth-gga-pbe/As_GGA_sp.atomicdata,jth-gga-pbe,As_GGA_sp,['As'],5
19,jth-gga-pbe/S_GGA.atomicdata,jth-gga-pbe,S_GGA,['S'],6
20,jth-gga-pbe/N_GGA.atomicdata,jth-gga-pbe,N_GGA,['N'],5
21,jth-gga-pbe/Sm_GGA.atomicdata,jth-gga-pbe,Sm_GGA,['Sm'],16
22,jth-gga-pbe/Ta_GGA.atomicdata,jth-gga-pbe,Ta_GGA,['Ta'],13
23,jth-gga-pbe/Be_GGA.atomicdata,jth-gga-pbe,Be_GGA,['Be'],4
24,jth-gga-pbe/Nd_GGA.atomicdata,jth-gga-pbe,Nd_GGA,['Nd'],14
25,jth-gga-pbe/Li_GGA.atomicdata,jth-gga-pbe,Li_GGA,['Li'],3
26,jth-gga-pbe/Pr_GGA.atomicdata,jth-gga-pbe,Pr_GGA,['Pr'],13
27,jth-gga-pbe/I_GGA.atomicdata,jth-gga-pbe,I_GGA,['I'],7
28,jth-gga-pbe/Sb_GGA_sp.atomicdata,jth-gga-pbe,Sb_GGA_sp,['Sb'],5
