Element,Name
Ag,Ag_GGA
Al,Al_GGA
Ar,Ar_GGA
As,As_GGA
At,At_GGA
Au,Au_GGA
B,B_GGA
Ba,Ba_GGA
Be,Be_GGA
Bi,Bi_GGA
Br,Br_GGA
C,C_GGA
Ca,Ca_GGA
Cd,Cd_GGA
Ce,Ce_GGA
Cl,Cl_GGA
Co,Co_GGA
Cr,Cr_GGA
Cs,Cs_GGA
Cu,Cu_GGA
Dy,Dy_GGA
Er,Er_GGA
Eu,Eu_GGA
F,F_GGA
Fe,Fe_GGA
Ga,Ga_GGA
Gd,Gd_GGA
Ge,Ge_GGA
H,H_GGA
He,He_GGA
Hf,Hf_GGA
Hg,Hg_GGA
Ho,Ho_GGA
I,I_GGA
In,In_GGA
Ir,Ir_GGA
K,K_GGA
Kr,Kr_GGA
La,La_GGA
Li,Li_GGA
Lu,Lu_GGA
Mg,Mg_GGA
Mn,Mn_GGA
Mo,Mo_GGA
N,N_GGA
Na,Na_GGA
Nb,Nb_GGA
Nd,Nd_GGA
Ne,Ne_GGA
Ni,Ni_GGA
O,O_GGA
Os,Os_GGA
P,P_GGA
Pb,Pb_GGA
Pd,Pd_GGA
Pm,Pm_GGA
Po,Po_GGA
Pr,Pr_GGA
Pt,Pt_GGA
Rb,Rb_GGA
Re,Re_GGA
Rh,Rh_GGA
Rn,Rn_GGA
Ru,Ru_GGA
S,S_GGA
Sb,Sb_GGA
Sc,Sc_GGA
Sm,Sm_GGA
Sn,Sn_GGA
Sr,Sr_GGA
Ta,Ta_GGA
Tb,Tb_GGA
Tc,Tc_GGA
Te,Te_GGA
Ti,Ti_GGA
Tl,Tl_GGA
Tm,Tm_GGA
V,V_GGA
W,W_GGA
Xe,Xe_GGA
Y,Y_GGA
Yb,Yb_GGA
Zn,Zn_GGA
Zr,Zr_GGA
