,Filename,Model,Name,Species,n_elect,ENMAX
0,potpaw_PBE/Ac/POTCAR,gga-pbe,Ac-gga-pbe,['Ac'],11.0,172.351
1,potpaw_PBE/Ag/POTCAR,gga-pbe,Ag-gga-pbe,['Ag'],11.0,249.844
2,potpaw_PBE/Ag_GW/POTCAR,gga-pbe,Ag_GW-gga-pbe,['Ag'],11.0,249.844
3,potpaw_PBE/Ag_pv/POTCAR,gga-pbe,Ag_pv-gga-pbe,['Ag'],17.0,297.865
4,potpaw_PBE/Ag_sv_GW/POTCAR,gga-pbe,Ag_sv_GW-gga-pbe,['Ag'],19.0,354.43
5,potpaw_PBE/Al/POTCAR,gga-pbe,Al-gga-pbe,['Al'],3.0,240.3
6,potpaw_PBE/Al_GW/POTCAR,gga-pbe,Al_GW-gga-pbe,['Al'],3.0,240.3
7,potpaw_PBE/Al_sv_GW/POTCAR,gga-pbe,Al_sv_GW-gga-pbe,['Al'],11.0,411.109
8,potpaw_PBE/Am/POTCAR,gga-pbe,Am-gga-pbe,['Am'],17.0,255.875
9,potpaw_PBE/Ar/POTCAR,gga-pbe,Ar-gga-pbe,['Ar'],8.0,266.408
10,potpaw_PBE/Ar_GW/POTCAR,gga-pbe,Ar_GW-gga-pbe,['Ar'],8.0,290.599
11,potpaw_PBE/As/POTCAR,gga-pbe,As-gga-pbe,['As'],5.0,208.702
12,potpaw_PBE/As_GW/POTCAR,gga-pbe,As_GW-gga-pbe,['As'],5.0,208.702
13,potpaw_PBE/As_d/POTCAR,gga-pbe,As_d-gga-pbe,['As'],15.0,288.651
14,potpaw_PBE/As_sv_GW/POTCAR,gga-pbe,As_sv_GW-gga-pbe,['As'],23.0,415.313
15,potpaw_PBE/At/POTCAR,gga-pbe,At-gga-pbe,['At'],7.0,161.43
16,potpaw_PBE/At_d/POTCAR,gga-pbe,At_d-gga-pbe,['At'],17.0,266.251
17,potpaw_PBE/At_d_GW/POTCAR,gga-pbe,At_d_GW-gga-pbe,['At'],17.0,266.251
18,potpaw_PBE/At_sv_GW/POTCAR,gga-pbe,At_sv_GW-gga-pbe,['At'],25.0,328.529
19,potpaw_PBE/Au/POTCAR,gga-pbe,Au-gga-pbe,['Au'],11.0,229.943
20,potpaw_PBE/Au_GW/POTCAR,gga-pbe,Au_GW-gga-pbe,['Au'],11.0,248.344
21,potpaw_PBE/Au_pv_GW/POTCAR,gga-pbe,Au_pv_GW-gga-pbe,['Au'],17.0,248.344
22,potpaw_PBE/Au_sv_GW/POTCAR,gga-pbe,Au_sv_GW-gga-pbe,['Au'],19.0,306.658
23,potpaw_PBE/B/POTCAR,gga-pbe,B-gga-pbe,['B'],3.0,318.614
24,potpaw_PBE/B_GW/POTCAR,gga-pbe,B_GW-gga-pbe,['B'],3.0,318.614
25,potpaw_PBE/B_h/POTCAR,gga-pbe,B_h-gga-pbe,['B'],3.0,700.0
26,potpaw_PBE/B_s/POTCAR,gga-pbe,B_s-gga-pbe,['B'],3.0,269.245
27,potpaw_PBE/Ba/POTCAR,gga-pbe,Ba-gga-pbe,['Ba'],10.0,187.21
28,potpaw_PBE/Ba_sv/POTCAR,gga-pbe,Ba_sv-gga-pbe,['Ba'],10.0,187.181
29,potpaw_PBE/Ba_sv_GW/POTCAR,gga-pbe,Ba_sv_GW-gga-pbe,['Ba'],10.0,237.515
30,potpaw_PBE/Be/POTCAR,gga-pbe,Be-gga-pbe,['Be'],2.0,247.543
31,potpaw_PBE/Be_GW/POTCAR,gga-pbe,Be_GW-gga-pbe,['Be'],2.0,247.543
32,potpaw_PBE/Be_sv/POTCAR,gga-pbe,Be_sv-gga-pbe,['Be'],4.0,308.768
33,potpaw_PBE/Be_sv_GW/POTCAR,gga-pbe,Be_sv_GW-gga-pbe,['Be'],4.0,537.454
34,potpaw_PBE/Bi/POTCAR,gga-pbe,Bi-gga-pbe,['Bi'],5.0,105.037
35,potpaw_PBE/Bi_GW/POTCAR,gga-pbe,Bi_GW-gga-pbe,['Bi'],5.0,146.53
36,potpaw_PBE/Bi_d/POTCAR,gga-pbe,Bi_d-gga-pbe,['Bi'],15.0,242.839
37,potpaw_PBE/Bi_d_GW/POTCAR,gga-pbe,Bi_d_GW-gga-pbe,['Bi'],17.0,261.876
38,potpaw_PBE/Bi_sv_GW/POTCAR,gga-pbe,Bi_sv_GW-gga-pbe,['Bi'],23.0,323.513
39,potpaw_PBE/Br/POTCAR,gga-pbe,Br-gga-pbe,['Br'],7.0,216.285
40,potpaw_PBE/Br_GW/POTCAR,gga-pbe,Br_GW-gga-pbe,['Br'],7.0,216.285
41,potpaw_PBE/Br_sv_GW/POTCAR,gga-pbe,Br_sv_GW-gga-pbe,['Br'],25.0,475.692
42,potpaw_PBE/C/POTCAR,gga-pbe,C-gga-pbe,['C'],4.0,400.0
43,potpaw_PBE/C_GW/POTCAR,gga-pbe,C_GW-gga-pbe,['C'],4.0,413.992
44,potpaw_PBE/C_GW_new/POTCAR,gga-pbe,C_GW_new-gga-pbe,['C'],4.0,413.992
45,potpaw_PBE/C_h/POTCAR,gga-pbe,C_h-gga-pbe,['C'],4.0,700.0
46,potpaw_PBE/C_h_GW/POTCAR,gga-pbe,C_h_GW-gga-pbe,['C'],4.0,741.689
47,potpaw_PBE/C_s/POTCAR,gga-pbe,C_s-gga-pbe,['C'],4.0,273.911
48,potpaw_PBE/Ca/POTCAR,gga-pbe,Ca-gga-pbe,['Ca'],10.0,266.586
49,potpaw_PBE/Ca_pv/POTCAR,gga-pbe,Ca_pv-gga-pbe,['Ca'],8.0,119.559
50,potpaw_PBE/Ca_sv/POTCAR,gga-pbe,Ca_sv-gga-pbe,['Ca'],10.0,266.622
51,potpaw_PBE/Ca_sv_GW/POTCAR,gga-pbe,Ca_sv_GW-gga-pbe,['Ca'],10.0,281.43
52,potpaw_PBE/Cd/POTCAR,gga-pbe,Cd-gga-pbe,['Cd'],12.0,274.336
53,potpaw_PBE/Cd_GW/POTCAR,gga-pbe,Cd_GW-gga-pbe,['Cd'],12.0,254.045
54,potpaw_PBE/Cd_pv_GW/POTCAR,gga-pbe,Cd_pv_GW-gga-pbe,['Cd'],18.0,396.766
55,potpaw_PBE/Cd_sv_GW/POTCAR,gga-pbe,Cd_sv_GW-gga-pbe,['Cd'],20.0,361.806
56,potpaw_PBE/Ce/POTCAR,gga-pbe,Ce-gga-pbe,['Ce'],12.0,273.042
57,potpaw_PBE/Ce_3/POTCAR,gga-pbe,Ce_3-gga-pbe,['Ce'],11.0,176.506
58,potpaw_PBE/Ce_GW/POTCAR,gga-pbe,Ce_GW-gga-pbe,['Ce'],12.0,304.625
59,potpaw_PBE/Ce_h/POTCAR,gga-pbe,Ce_h-gga-pbe,['Ce'],12.0,299.9
